tick,agent,status,delta,zone,action,queue,session_tokens,session_cost_usd,session_calls,session_deferred,last_tokens,last_cost_usd,last_latency_ms,window_saturation,context_used,context_budget,ablation_off,lambda_rate,temperature
46,Router,active,0.6974,critical,idle,2,0,0.0,0,0,0.0,0.0,0.0,0.244,1952,8000,False,0.005,0.8
47,Router,active,0.688,critical,idle,3,0,0.0,0,0,0.0,0.0,0.0,0.244,1952,8000,False,0.005,0.8
48,Router,active,0.6791,critical,idle,3,0,0.0,0,0,0.0,0.0,0.0,0.244,1952,8000,False,0.005,0.8
49,Router,active,0.6706,loaded,idle,4,0,0.0,0,0,0.0,0.0,0.0,0.244,1952,8000,False,0.005,0.8
50,Router,active,0.6626,loaded,idle,4,0,0.0,0,0,0.0,0.0,0.0,0.244,1952,8000,False,0.005,0.8
51,Router,active,0.655,loaded,idle,5,0,0.0,0,0,0.0,0.0,0.0,0.244,1952,8000,False,0.005,0.8
52,Router,active,0.6477,loaded,idle,6,0,0.0,0,0,0.0,0.0,0.0,0.244,1952,8000,False,0.005,0.8
53,Router,active,0.6408,loaded,idle,8,0,0.0,0,0,0.0,0.0,0.0,0.244,1952,8000,False,0.005,0.8
54,Router,active,0.6343,loaded,idle,8,0,0.0,0,0,0.0,0.0,0.0,0.244,1952,8000,False,0.005,0.8
55,Router,active,0.6281,loaded,idle,10,0,0.0,0,0,0.0,0.0,0.0,0.216,1732,8000,False,0.005,0.8
56,Router,active,0.6232,loaded,idle,9,0,0.0,0,0,0.0,0.0,0.0,0.189,1514,8000,False,0.005,0.8
57,Router,active,0.6508,loaded,idle,9,0,0.0,0,0,0.0,0.0,0.0,0.216,1730,8000,False,0.005,0.8
58,Router,active,0.6438,loaded,idle,9,0,0.0,0,0,0.0,0.0,0.0,0.216,1730,8000,False,0.005,0.8
59,Router,active,0.6372,loaded,idle,9,0,0.0,0,0,0.0,0.0,0.0,0.216,1730,8000,False,0.005,0.8
60,Router,active,0.6308,loaded,idle,9,0,0.0,0,0,0.0,0.0,0.0,0.216,1730,8000,False,0.005,0.8
61,Router,active,0.6248,loaded,idle,9,0,0.0,0,0,0.0,0.0,0.0,0.216,1730,8000,False,0.005,0.8
62,Router,active,0.6201,loaded,idle,8,0,0.0,0,0,0.0,0.0,0.0,0.189,1513,8000,False,0.005,0.8
63,Router,active,0.6537,loaded,idle,7,0,0.0,0,0,0.0,0.0,0.0,0.216,1729,8000,False,0.005,0.8
64,Router,active,0.6645,loaded,idle,7,0,0.0,0,0,0.0,0.0,0.0,0.216,1728,8000,False,0.005,0.8
65,Router,active,0.6569,loaded,idle,7,0,0.0,0,0,0.0,0.0,0.0,0.216,1728,8000,False,0.005,0.8
66,Router,active,0.6496,loaded,idle,7,0,0.0,0,0,0.0,0.0,0.0,0.189,1513,8000,False,0.005,0.8
67,Router,active,0.6427,loaded,idle,7,0,0.0,0,0,0.0,0.0,0.0,0.189,1513,8000,False,0.005,0.8
68,Router,active,0.6361,loaded,idle,7,0,0.0,0,0,0.0,0.0,0.0,0.162,1292,8000,False,0.005,0.8
69,Router,active,0.6298,loaded,idle,7,0,0.0,0,0,0.0,0.0,0.0,0.162,1292,8000,False,0.005,0.8
70,Router,active,0.6239,loaded,idle,7,0,0.0,0,0,0.0,0.0,0.0,0.162,1292,8000,False,0.005,0.8
71,Router,active,0.6183,loaded,idle,7,0,0.0,0,0,0.0,0.0,0.0,0.162,1292,8000,False,0.005,0.8
72,Router,active,0.6129,loaded,idle,7,0,0.0,0,0,0.0,0.0,0.0,0.162,1292,8000,False,0.005,0.8
73,Router,active,0.6079,loaded,idle,7,0,0.0,0,0,0.0,0.0,0.0,0.135,1076,8000,False,0.005,0.8
74,Router,active,0.604,loaded,idle,6,0,0.0,0,0,0.0,0.0,0.0,0.108,862,8000,False,0.005,0.8
75,Router,active,0.6326,loaded,idle,8,0,0.0,0,0,0.0,0.0,0.0,0.107,860,8000,False,0.005,0.8
76,Router,active,0.6275,loaded,idle,7,0,0.0,0,0,0.0,0.0,0.0,0.107,860,8000,False,0.005,0.8
77,Router,active,0.6379,loaded,idle,7,0,0.0,0,0,0.0,0.0,0.0,0.134,1072,8000,False,0.005,0.8
78,Router,active,0.6326,loaded,idle,7,0,0.0,0,0,0.0,0.0,0.0,0.134,1072,8000,False,0.005,0.8
79,Router,active,0.6632,loaded,idle,8,0,0.0,0,0,0.0,0.0,0.0,0.161,1289,8000,False,0.005,0.8
80,Router,active,0.6556,loaded,idle,8,0,0.0,0,0,0.0,0.0,0.0,0.161,1289,8000,False,0.005,0.8
